paper,total,missing_topics,over_3_topics,legacy_p1_origin,current_excluded_qids_in_manifest,source_paper_codes,ALG,LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX
01summer08,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,01,1,0,0,0,0,0,0,0,0
03summer08,10,INT,,no,,03,1,1,1,3,0,1,1,1,1
03summer09,9,"INT,DE,CX",,no,,03,2,1,1,3,0,1,1,0,0
03winter08,10,"TRIG,INT",,no,,03,2,2,0,2,0,1,1,1,1
11summer14,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,11,1,0,0,0,0,0,0,0,0
11summer24,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,11,1,0,0,0,0,0,0,0,0
11winter16,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,11,1,0,0,0,0,0,0,0,0
11winter18,2,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,11,2,0,0,0,0,0,0,0,0
11winter24,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,11,1,0,0,0,0,0,0,0,0
12summer19,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,12,1,0,0,0,0,0,0,0,0
12summer20,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,12,1,0,0,0,0,0,0,0,0
12winter24,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,12,1,0,0,0,0,0,0,0,0
13summer15,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,13,1,0,0,0,0,0,0,0,0
13summer18,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,13,1,0,0,0,0,0,0,0,0
13winter13,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,13,1,0,0,0,0,0,0,0,0
13winter23,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,13,1,0,0,0,0,0,0,0,0
15winter25,1,"LOG,TRIG,DIFF,INT,NUM,VEC,DE,CX",,yes,,15,1,0,0,0,0,0,0,0,0
31summer10,10,INT,,no,,31,1,1,2,2,0,1,1,1,1
31summer11,10,"DIFF,DE",,no,,31,2,3,1,0,1,1,1,0,1
31summer12,10,"TRIG,INT",,no,,31,3,2,0,1,0,1,1,1,1
31summer13,10,"TRIG,INT,DE",,no,,31,3,3,0,1,0,1,1,0,1
31summer14,10,,,no,,31,1,1,1,2,1,1,1,1,1
31summer15,10,TRIG,,no,,31,1,2,0,2,1,1,1,1,1
31summer16,10,"INT,DE",,no,,31,2,1,1,3,0,1,1,0,1
31summer17,10,"TRIG,DE",,no,,31,2,2,0,2,1,1,1,0,1
31summer18,10,"INT,DE",,no,,31,2,1,1,3,0,1,1,0,1
31summer19,10,DE,,no,31summer19_q01,31,1,2,1,1,2,1,1,0,1
31summer20,10,"INT,DE",,no,,31,2,3,1,1,0,1,1,0,1
31summer21,10,LOG,,no,,31,1,0,1,2,1,2,1,1,1
31summer22,10,TRIG,,no,,31,2,1,0,2,1,1,1,1,1
31summer23,10,DIFF,,no,,31,3,1,1,0,1,1,1,1,1
31summer24,11,TRIG,,no,,31,1,2,0,1,2,1,1,1,2
31summer25,11,INT,,no,,31,2,1,1,2,0,1,1,1,2
31winter09,10,INT,,no,,31,1,3,1,1,0,1,1,1,1
31winter10,10,INT,,no,,31,1,2,1,2,0,1,1,1,1
31winter11,10,"TRIG,INT",LOG=4,no,,31,1,4,0,1,0,1,1,1,1
31winter12,10,"INT,CX",,no,,31,2,1,1,2,0,2,1,1,0
31winter13,10,"TRIG,INT",,no,,31,1,3,0,2,0,1,1,1,1
31winter14,10,"TRIG,INT,CX",DIFF=4,no,,31,2,1,0,4,0,1,1,1,0
31winter15,10,"LOG,INT",DIFF=4,no,,31,1,0,1,4,0,1,1,1,1
31winter16,10,"INT,DE",,no,,31,2,2,1,2,0,1,1,0,1
31winter17,10,"INT,VEC,DE",DIFF=4,no,,31,1,2,1,4,0,1,0,0,1
31winter18,10,"TRIG,INT,DE",DIFF=4,no,,31,2,1,0,4,0,1,1,0,1
31winter19,10,"TRIG,DE",,no,,31,1,3,0,2,1,1,1,0,1
31winter20,11,"INT,DE",DIFF=4,no,,31,1,2,1,4,0,1,1,0,1
31winter21,10,,,no,,31,1,1,2,1,1,1,1,1,1
31winter22,11,INT,,no,,31,2,1,2,1,0,1,1,1,2
31winter23,11,,,no,,31,1,1,1,2,1,1,1,1,2
31winter24,10,LOG,,no,,31,2,0,1,2,1,1,1,1,1
31winter25,11,,,no,,31,1,1,1,2,1,1,1,1,2
32summer10,10,"DIFF,CX",,no,,32,2,3,1,0,1,1,1,1,0
32summer11,10,INT,,no,,32,2,1,1,2,0,1,1,1,1
32summer12,10,INT,,no,,32,1,2,1,2,0,1,1,1,1
32summer13,10,"TRIG,INT",,no,,32,2,2,0,2,0,1,1,1,1
32summer14,10,INT,,no,,32,2,1,1,2,0,1,1,1,1
32summer15,10,INT,,no,,32,2,2,1,1,0,1,1,1,1
32summer16,10,"TRIG,INT,DE",,no,,32,2,3,0,2,0,1,1,0,1
32summer17,10,DE,,no,,32,1,2,1,2,1,1,1,0,1
32summer18,10,DE,,no,32summer18_q01,32,2,1,1,2,1,1,1,0,1
32summer19,10,"TRIG,DE",,no,,32,2,3,0,1,1,1,1,0,1
32summer20,10,"TRIG,INT,DE",,no,,32,3,2,0,2,0,1,1,0,1
32summer21,11,TRIG,,no,,32,2,1,0,1,2,1,1,1,2
32summer22,10,,,no,,32,1,1,1,2,1,1,1,1,1
32summer23,11,,,no,,32,1,1,1,2,1,1,1,1,2
32summer24,10,TRIG,,no,,32,2,1,0,1,2,1,1,1,1
32summer25,11,,,no,,32,1,1,2,1,1,1,1,1,2
32winter09,10,"TRIG,INT",,no,,32,2,2,0,2,0,1,1,1,1
32winter10,10,INT,,no,,32,1,2,1,2,0,1,1,1,1
32winter11,10,"TRIG,INT",LOG=4,no,,32,1,4,0,1,0,1,1,1,1
32winter12,10,"INT,CX",,no,,32,2,2,1,2,0,1,1,1,0
32winter13,10,TRIG,,no,,32,2,2,0,1,1,1,1,1,1
32winter14,9,"TRIG,INT,CX",DIFF=4,no,,32,1,1,0,4,0,1,1,1,0
32winter15,10,"LOG,INT",DIFF=4,no,,32,1,0,1,4,0,1,1,1,1
32winter16,10,"INT,DE",,no,,32,2,2,1,2,0,1,1,0,1
32winter17,10,"INT,DE",DIFF=4,no,,32,1,1,1,4,0,1,1,0,1
32winter18,10,"INT,DE",,no,,32,1,2,1,3,0,1,1,0,1
32winter19,10,"INT,DE",,no,,32,3,1,1,2,0,1,1,0,1
32winter20,10,"INT,DE",,no,,32,2,2,1,2,0,1,1,0,1
32winter21,11,INT,,no,,32,3,1,2,1,0,1,1,1,1
32winter22,10,,,no,,32,1,1,1,1,2,1,1,1,1
32winter23,11,LOG,,no,,32,2,0,1,2,1,1,1,1,2
32winter24,11,,,no,,32,1,2,1,1,1,1,1,1,2
32winter25,11,TRIG,,no,,32,2,1,0,1,3,1,1,1,1
33summer10,10,NUM,,no,,33,1,3,1,1,1,0,1,1,1
33summer11,10,"TRIG,INT,CX",DIFF=4,no,,33,1,2,0,4,0,1,1,1,0
33summer12,10,"TRIG,INT",,no,,33,2,1,0,3,0,1,1,1,1
33summer13,10,"TRIG,INT",,no,,33,2,1,0,3,0,1,1,1,1
33summer14,10,"TRIG,INT,NUM",,no,,33,1,3,0,3,0,0,1,1,1
33summer15,10,INT,,no,,33,2,1,1,2,0,1,1,1,1
33summer16,10,"TRIG,DE",,no,,33,1,2,0,3,1,1,1,0,1
33summer17,11,DE,,no,,33,2,1,1,3,1,1,1,0,1
33summer18,10,"NUM,DE",,no,,33,2,2,1,2,1,0,1,0,1
33summer19,10,"TRIG,DE",,no,,33,1,3,0,2,1,1,1,0,1
33summer20,10,"TRIG,DE",,no,,33,2,1,0,2,2,1,1,0,1
33summer21,10,,,no,,33,1,1,1,1,2,1,1,1,1
33summer22,10,INT,,no,,33,2,1,1,2,0,1,1,1,1
33summer23,11,,,no,,33,2,1,1,1,1,1,1,1,2
33summer24,11,NUM,,no,,33,1,1,1,2,2,0,1,1,2
33summer25,11,,,no,,33,2,1,1,1,1,1,1,1,2
33winter10,10,"INT,NUM",,no,,33,2,2,2,1,0,0,1,1,1
33winter11,10,DE,,no,,33,2,2,1,1,1,1,1,0,1
33winter12,10,INT,,no,,33,1,2,1,2,0,1,1,1,1
33winter13,10,"TRIG,DIFF",,no,,33,2,3,0,0,1,1,1,1,1
33winter14,10,DE,,no,33winter14_q06,33,2,1,1,2,1,1,1,0,1
33winter15,10,ALG,,no,,33,0,1,1,3,1,1,1,1,1
33winter16,10,"TRIG,DE",,no,,33,3,2,0,1,1,1,1,0,1
33winter17,10,"INT,VEC,DE",DIFF=4,no,,33,1,2,1,4,0,1,0,0,1
33winter18,10,"TRIG,INT,DE",DIFF=4,no,,33,2,1,0,4,0,1,1,0,1
33winter19,10,"LOG,INT,DE",,no,,33,3,0,1,3,0,1,1,0,1
33winter20,11,"INT,DE",DIFF=4,no,,33,1,2,1,4,0,1,1,0,1
33winter21,11,DE,,no,,33,2,1,2,1,2,1,1,0,1
33winter22,11,,,no,,33,1,1,1,1,2,1,1,1,2
33winter23,11,NUM,,no,,33,3,1,1,1,1,0,1,1,2
33winter24,11,,,no,,33,1,1,1,2,1,1,1,1,2
33winter25,11,,,no,,33,2,1,1,1,1,1,1,1,2
35summer25,11,INT,,no,,35,1,1,1,3,0,1,1,1,2
35winter25,11,,,no,,35,2,1,1,2,1,1,1,1,1
